model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LP,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.573±0.045,0.524±0.054,0.534±0.061,0.534±0.061,0.02±0.01s
LP,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,0.572±0.045,0.524±0.054,0.534±0.061,0.534±0.061,0.02±0.00s
LP,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.573±0.045,0.524±0.054,0.534±0.061,0.534±0.061,0.02±0.01s
LP,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.572±0.045,0.524±0.054,0.534±0.061,0.534±0.061,0.01±0.00s
LP,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.573±0.045,0.524±0.054,0.534±0.061,0.534±0.061,0.01±0.00s
LP,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.572±0.045,0.524±0.054,0.534±0.061,0.534±0.061,0.01±0.00s
LP,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.573±0.045,0.524±0.054,0.534±0.061,0.534±0.061,0.01±0.01s
LP,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.572±0.045,0.524±0.054,0.534±0.061,0.534±0.061,0.01±0.00s
LP,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.573±0.045,0.524±0.054,0.534±0.061,0.534±0.061,0.02±0.01s
LP,Texas,uniform,0.0,uniform,0.0,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.572±0.045,0.524±0.054,0.534±0.061,0.534±0.061,0.02±0.00s
