model,dataset,label_noise_type,label_noise_rate,feature_missing_type,feature_missing_rate,feature_noise_rate,seed,epochs,lr,weight_decay,hidden_channels,num_layers,dropout,label_max_hops,label_temperature,lp_alpha,goodie_lamb,train,val,test,best_test_at_val,time
LP,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,0.811±0.006,0.639±0.020,0.631±0.017,0.631±0.017,0.03±0.02s
LP,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,0.811±0.006,0.639±0.020,0.631±0.017,0.631±0.017,0.04±0.01s
LP,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,0.811±0.006,0.639±0.020,0.631±0.017,0.631±0.017,0.03±0.02s
LP,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,0.811±0.006,0.639±0.020,0.631±0.017,0.631±0.017,0.03±0.01s
LP,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,0.811±0.006,0.639±0.020,0.631±0.017,0.631±0.017,0.04±0.00s
LP,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.638±0.020,0.637±0.022,0.637±0.022,0.03±0.01s
LP,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.638±0.020,0.637±0.022,0.637±0.022,0.04±0.02s
LP,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.638±0.020,0.637±0.022,0.637±0.022,0.02±0.01s
LP,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.638±0.020,0.637±0.022,0.637±0.022,0.04±0.02s
LP,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.638±0.020,0.637±0.022,0.637±0.022,0.04±0.02s
LP,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.638±0.020,0.637±0.022,0.637±0.022,0.04±0.00s
LP,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.634±0.020,0.631±0.022,0.631±0.022,0.02±0.02s
LP,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,32,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.634±0.020,0.631±0.022,0.631±0.022,0.03±0.01s
LP,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.634±0.020,0.631±0.022,0.631±0.022,0.03±0.01s
LP,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,64,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.634±0.020,0.631±0.022,0.631±0.022,0.04±0.01s
LP,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,1,0.5,1,2.0,0.99,1.0,1.000±0.000,0.634±0.020,0.631±0.022,0.631±0.022,0.04±0.01s
LP,Citeseer,uniform,0.0,uniform,0.5,0.0,1000,1000,0.01,0.0005,128,2,0.5,1,2.0,0.99,1.0,1.000±0.000,0.634±0.020,0.631±0.022,0.631±0.022,0.04±0.01s
